page_total_likes,category,post_month,post_hour,paid,total_interactions_log,type_Photo,type_Status,type_Video,post_weekday_2,post_weekday_3,post_weekday_4,post_weekday_5,post_weekday_6,post_weekday_7,time_of_day_morning,time_of_day_afternoon,time_of_day_evening
138458,2,12,11,0.0,6.20455776256869,0,1,0,0,0,0,1,0,0,1,0,0
138458,3,12,3,0.0,4.770684624465665,1,0,0,0,0,0,1,0,0,0,0,0
138895,2,12,3,0.0,6.434546518787453,1,0,0,0,0,0,1,0,0,0,0,0
138895,1,12,11,1.0,5.1647859739235145,0,0,1,0,0,1,0,0,0,1,0,0
138895,2,12,2,0.0,5.093750200806762,1,0,0,0,0,1,0,0,0,0,0,0
138895,2,12,10,0.0,3.6888794541139363,1,0,0,0,1,0,0,0,0,1,0,0
138895,3,12,3,0.0,5.3230099791384085,1,0,0,0,1,0,0,0,0,0,0,0
138895,3,12,9,0.0,4.836281906951478,1,0,0,1,0,0,0,0,0,1,0,0
138895,1,12,3,0.0,4.330733340286331,1,0,0,1,0,0,0,0,0,0,0,0
138895,2,12,11,0.0,5.298317366548036,1,0,0,0,0,0,0,0,0,1,0,0
138895,3,12,3,0.0,4.736198448394496,1,0,0,0,0,0,0,0,0,0,0,0
138895,1,12,10,1.0,4.61512051684126,1,0,0,0,0,0,0,0,1,1,0,0
138895,2,12,9,0.0,5.598421958998375,0,1,0,0,0,0,0,0,1,1,0,0
138895,1,12,3,0.0,4.0943445622221,1,0,0,0,0,0,0,0,1,0,0,0
138895,2,12,11,0.0,5.572154032177765,0,1,0,0,0,0,0,1,0,1,0,0
138895,1,12,3,1.0,5.356586274672012,0,0,0,0,0,0,0,1,0,0,0,0
138353,1,12,10,0.0,3.6109179126442243,1,0,0,0,0,0,1,0,0,1,0,0
138353,1,12,3,1.0,3.8501476017100584,0,0,0,0,0,0,1,0,0,0,0,0
138353,1,12,11,0.0,4.07753744390572,1,0,0,0,0,1,0,0,0,1,0,0
138353,1,12,3,1.0,4.276666119016055,0,0,0,0,0,1,0,0,0,0,0,0
138353,1,12,11,0.0,5.3706380281276624,0,1,0,0,1,0,0,0,0,1,0,0
138353,1,12,2,0.0,3.4965075614664802,0,0,0,0,1,0,0,0,0,0,0,0
138353,1,12,11,0.0,4.532599493153256,1,0,0,1,0,0,0,0,0,1,0,0
138353,1,12,2,0.0,2.70805020110221,0,0,0,1,0,0,0,0,0,0,0,0
138353,2,11,9,0.0,4.07753744390572,1,0,0,0,0,0,0,0,0,1,0,0
138329,1,11,3,1.0,5.823045895483019,1,0,0,0,0,0,0,0,0,0,0,0
138329,1,11,9,0.0,5.493061443340548,1,0,0,0,0,0,0,0,1,1,0,0
138329,1,11,3,0.0,4.477336814478207,1,0,0,0,0,0,0,0,1,0,0,0
138329,1,11,10,0.0,4.430816798843313,1,0,0,0,0,0,0,1,0,1,0,0
138329,1,11,2,1.0,4.406719247264253,0,0,1,0,0,0,0,1,0,0,0,0
138329,1,11,11,0.0,5.3981627015177525,1,0,0,0,0,0,1,0,0,1,0,0
138329,1,11,3,0.0,3.9889840465642745,1,0,0,0,0,0,1,0,0,0,0,0
138329,1,11,10,0.0,4.51085950651685,1,0,0,0,0,1,0,0,0,1,0,0
138329,1,11,3,1.0,5.081404364984463,1,0,0,0,0,1,0,0,0,0,0,0
138185,1,11,11,1.0,4.820281565605037,1,0,0,0,1,0,0,0,0,1,0,0
138185,1,11,2,1.0,5.093750200806762,1,0,0,0,1,0,0,0,0,0,0,0
138185,1,11,10,1.0,5.313205979041787,1,0,0,1,0,0,0,0,0,1,0,0
138185,1,11,3,1.0,5.5053315359323625,1,0,0,1,0,0,0,0,0,0,0,0
138185,1,11,10,0.0,4.248495242049359,1,0,0,0,0,0,0,0,0,1,0,0
138185,1,11,3,0.0,4.787491742782046,1,0,0,0,0,0,0,0,0,0,0,0
138185,1,11,11,0.0,4.02535169073515,1,0,0,0,0,0,0,0,1,1,0,0
138185,1,11,3,1.0,6.669498089857879,1,0,0,0,0,0,0,0,1,0,0,0
138185,1,11,11,0.0,4.2626798770413155,1,0,0,0,0,0,0,1,0,1,0,0
137893,1,11,3,0.0,4.787491742782046,1,0,0,0,0,0,0,1,0,0,0,0
137893,1,11,10,1.0,5.093750200806762,1,0,0,0,0,0,1,0,0,1,0,0
137893,1,11,3,1.0,6.311734809152915,0,0,1,0,0,0,1,0,0,0,0,0
137893,3,11,11,0.0,5.6131281063880705,0,1,0,0,0,1,0,0,0,1,0,0
137893,1,11,2,1.0,5.455321115357702,1,0,0,0,0,1,0,0,0,0,0,0
137893,1,11,11,0.0,4.74493212836325,0,0,1,0,1,0,0,0,0,1,0,0
137893,1,11,2,1.0,6.226536669287466,1,0,0,0,1,0,0,0,0,0,0,0
137893,1,11,2,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
137177,1,11,10,0.0,4.584967478670572,1,0,0,0,0,0,0,0,0,1,0,0
137177,2,11,3,0.0,4.174387269895637,1,0,0,0,0,0,0,0,0,0,0,0
137177,1,11,12,0.0,3.6635616461296463,1,0,0,0,0,0,0,0,1,0,1,0
137177,2,11,3,0.0,4.624972813284271,0,1,0,0,0,0,0,0,1,0,0,0
137177,3,11,10,0.0,6.091309882077698,1,0,0,0,0,0,0,1,0,1,0,0
137177,1,11,3,0.0,5.53338948872752,1,0,0,0,0,0,0,1,0,0,0,0
137177,3,11,10,1.0,4.812184355372417,1,0,0,0,0,0,1,0,0,1,0,0
137177,3,11,2,0.0,4.770684624465665,0,1,0,0,0,0,1,0,0,0,0,0
137177,1,11,9,1.0,5.0689042022202315,1,0,0,0,0,1,0,0,0,1,0,0
137177,1,11,3,0.0,5.099866427824199,0,0,0,0,0,1,0,0,0,0,0,0
137177,3,11,10,0.0,5.7430031878094825,1,0,0,0,1,0,0,0,0,1,0,0
137177,1,11,3,0.0,3.6888794541139363,1,0,0,0,1,0,0,0,0,0,0,0
137059,1,11,11,1.0,4.844187086458591,1,0,0,1,0,0,0,0,0,1,0,0
137059,1,11,3,0.0,6.045005314036012,1,0,0,1,0,0,0,0,0,0,0,0
137059,2,11,9,0.0,4.5217885770490405,1,0,0,0,0,0,0,0,0,1,0,0
137059,3,11,3,0.0,5.8377304471659395,1,0,0,0,0,0,0,0,0,0,0,0
137059,3,11,9,0.0,4.867534450455582,1,0,0,0,0,0,0,0,1,1,0,0
137059,2,11,4,0.0,5.003946305945459,1,0,0,0,0,0,0,0,1,0,0,0
137059,3,10,10,0.0,5.225746673713202,1,0,0,0,0,0,0,1,0,1,0,0
137059,1,10,3,0.0,4.189654742026425,1,0,0,0,0,0,0,1,0,0,0,0
137059,2,10,11,0.0,4.962844630259907,1,0,0,0,0,0,1,0,0,1,0,0
137020,2,10,3,1.0,5.937536205082426,0,1,0,0,0,0,1,0,0,0,0,0
137020,1,10,10,0.0,6.066108090103747,1,0,0,0,0,1,0,0,0,1,0,0
137020,1,10,9,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
137020,2,10,3,0.0,7.394493107219038,1,0,0,0,0,1,0,0,0,0,0,0
137020,3,10,10,0.0,4.382026634673881,1,0,0,0,1,0,0,0,0,1,0,0
137020,1,10,4,0.0,2.8903717578961645,1,0,0,0,1,0,0,0,0,0,0,0
137020,1,10,11,1.0,4.290459441148391,1,0,0,1,0,0,0,0,0,1,0,0
137020,1,10,4,0.0,7.036148493750536,1,0,0,1,0,0,0,0,0,0,0,0
137020,3,10,11,0.0,5.407171771460119,1,0,0,0,0,0,0,0,0,1,0,0
136736,2,10,4,0.0,5.476463551931511,0,1,0,0,0,0,0,0,0,0,0,0
136736,3,10,9,0.0,5.003946305945459,1,0,0,0,0,0,0,0,1,1,0,0
136736,2,10,3,0.0,5.605802066295998,0,1,0,0,0,0,0,0,1,0,0,0
136736,1,10,10,0.0,3.5553480614894135,1,0,0,0,0,0,0,1,0,1,0,0
136736,1,10,8,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0
136736,2,10,4,0.0,4.941642422609304,1,0,0,0,0,0,0,1,0,0,0,0
136642,2,10,3,1.0,4.584967478670572,1,0,0,0,0,0,0,0,0,0,0,0
136642,1,10,13,0.0,2.8903717578961645,1,0,0,0,0,0,0,0,1,0,1,0
136642,1,10,12,1.0,1.9459101490553132,1,0,0,0,0,0,0,0,1,0,1,0
136642,1,10,12,0.0,6.129050210060545,1,0,0,0,0,0,0,0,1,0,1,0
136642,1,10,11,0.0,2.0794415416798357,1,0,0,0,0,0,0,0,1,1,0,0
136642,1,10,10,0.0,2.302585092994046,1,0,0,0,0,0,0,0,1,1,0,0
136393,1,10,10,0.0,2.1972245773362196,1,0,0,0,0,0,0,0,1,1,0,0
136393,1,10,9,0.0,1.0986122886681098,1,0,0,0,0,0,0,0,1,1,0,0
136393,2,10,9,0.0,5.4510384535657,0,1,0,0,0,0,0,0,1,1,0,0
136393,1,10,8,0.0,1.6094379124341003,1,0,0,0,0,0,0,0,1,1,0,0
136393,1,10,7,0.0,1.9459101490553132,1,0,0,0,0,0,0,0,1,1,0,0
136393,1,10,6,0.0,2.0794415416798357,1,0,0,0,0,0,0,0,1,1,0,0
136393,1,10,5,0.0,2.302585092994046,1,0,0,0,0,0,0,0,1,0,0,0
136393,3,10,3,0.0,5.493061443340548,1,0,0,0,0,0,0,0,1,0,0,0
136393,1,10,13,0.0,2.3978952727983707,1,0,0,0,0,0,0,1,0,0,1,0
136393,1,10,13,0.0,1.791759469228055,1,0,0,0,0,0,0,1,0,0,1,0
136393,1,10,12,0.0,1.3862943611198906,1,0,0,0,0,0,0,1,0,0,1,0
136393,1,10,11,0.0,2.3978952727983707,1,0,0,0,0,0,0,1,0,1,0,0
136393,1,10,9,0.0,2.3978952727983707,1,0,0,0,0,0,0,1,0,1,0,0
136393,1,10,9,0.0,2.3978952727983707,1,0,0,0,0,0,0,1,0,1,0,0
136393,1,10,8,0.0,2.5649493574615367,1,0,0,0,0,0,0,1,0,1,0,0
136393,1,10,6,0.0,3.5553480614894135,1,0,0,0,0,0,0,1,0,1,0,0
136393,1,10,2,0.0,4.23410650459726,1,0,0,0,0,0,0,1,0,0,0,0
136393,1,10,10,0.0,3.8918202981106265,0,0,0,0,0,0,1,0,0,1,0,0
136013,1,10,8,0.0,3.6888794541139363,1,0,0,0,0,0,1,0,0,1,0,0
136013,2,10,3,0.0,5.043425116919247,0,1,0,0,0,0,1,0,0,0,0,0
136013,1,10,10,1.0,4.61512051684126,1,0,0,0,0,1,0,0,0,1,0,0
136013,1,10,3,0.0,5.313205979041787,0,0,0,0,0,1,0,0,0,0,0,0
136013,3,10,10,0.0,5.583496308781699,0,1,0,0,1,0,0,0,0,1,0,0
136013,2,10,2,1.0,6.917705609835305,0,1,0,0,1,0,0,0,0,0,0,0
136013,3,10,10,1.0,6.104793232414985,1,0,0,1,0,0,0,0,0,1,0,0
136013,1,10,3,1.0,3.9889840465642745,1,0,0,1,0,0,0,0,0,0,0,0
136013,1,10,10,1.0,4.574710978503383,1,0,0,0,0,0,0,0,0,1,0,0
136013,3,10,3,0.0,5.3230099791384085,1,0,0,0,0,0,0,0,0,0,0,0
135713,3,10,10,0.0,4.553876891600541,1,0,0,0,0,0,0,0,1,1,0,0
135713,2,10,4,0.0,5.19295685089021,0,1,0,0,0,0,0,0,1,0,0,0
135713,1,10,11,1.0,3.58351893845611,0,0,0,0,0,0,0,1,0,1,0,0
135713,1,10,4,0.0,5.908082938168931,1,0,0,0,0,0,0,1,0,0,0,0
135713,2,10,11,0.0,5.303304908059076,1,0,0,0,0,0,1,0,0,1,0,0
135713,2,10,4,1.0,6.12029741895095,1,0,0,0,0,0,1,0,0,0,0,0
135713,1,10,10,0.0,5.267858159063328,1,0,0,0,0,1,0,0,0,1,0,0
135713,2,10,1,0.0,5.961005339623274,1,0,0,0,0,1,0,0,0,0,0,0
135700,2,9,7,0.0,4.2626798770413155,1,0,0,0,1,0,0,0,0,1,0,0
135700,2,9,11,0.0,5.099866427824199,1,0,0,1,0,0,0,0,0,1,0,0
135700,3,9,2,0.0,4.927253685157205,1,0,0,1,0,0,0,0,0,0,0,0
135700,2,9,10,0.0,5.53338948872752,1,0,0,0,0,0,0,0,0,1,0,0
135617,2,9,3,1.0,4.59511985013459,1,0,0,0,0,0,0,0,0,0,0,0
135617,3,9,9,0.0,6.016157159698354,1,0,0,0,0,0,0,0,1,1,0,0
135617,2,9,3,0.0,5.645446897643238,1,0,0,0,0,0,0,0,1,0,0,0
135617,3,9,10,0.0,6.018593214496234,1,0,0,0,0,0,0,1,0,1,0,0
135617,2,9,4,0.0,5.666426688112432,0,1,0,0,0,0,0,1,0,0,0,0
135428,1,9,10,0.0,2.9444389791664403,1,0,0,0,0,0,1,0,0,1,0,0
135428,2,9,3,1.0,4.890349128221754,1,0,0,0,0,0,1,0,0,0,0,0
135428,1,9,10,1.0,4.442651256490317,1,0,0,0,0,1,0,0,0,1,0,0
135428,3,9,2,1.0,6.324358962381311,1,0,0,0,0,1,0,0,0,0,0,0
135428,1,9,10,0.0,7.5883236773352225,1,0,0,0,1,0,0,0,0,1,0,0
135428,2,9,2,1.0,4.804021044733257,1,0,0,0,1,0,0,0,0,0,0,0
135195,3,9,9,0.0,5.384495062789089,1,0,0,1,0,0,0,0,0,1,0,0
135195,1,9,2,0.0,3.6635616461296463,1,0,0,1,0,0,0,0,0,0,0,0
135195,2,9,10,0.0,5.43372200355424,0,1,0,0,0,0,0,0,0,1,0,0
135195,1,9,4,0.0,5.420534999272286,1,0,0,0,0,0,0,0,0,0,0,0
135195,2,9,3,0.0,5.497168225293202,1,0,0,0,0,0,0,0,1,0,0,0
135195,2,9,10,1.0,5.247024072160486,0,1,0,0,0,0,0,1,0,1,0,0
135195,3,9,3,1.0,7.069023426578259,1,0,0,0,0,0,0,1,0,0,0,0
135195,1,9,11,0.0,5.6240175061873385,1,0,0,0,0,0,1,0,0,1,0,0
135195,2,9,2,0.0,5.703782474656201,1,0,0,0,0,0,1,0,0,0,0,0
135195,2,9,10,0.0,5.272999558563747,1,0,0,0,0,1,0,0,0,1,0,0
134879,2,9,4,1.0,5.298317366548036,0,1,0,0,0,1,0,0,0,0,0,0
134879,1,9,10,0.0,4.74493212836325,1,0,0,0,1,0,0,0,0,1,0,0
134879,3,9,2,1.0,5.605802066295998,1,0,0,0,1,0,0,0,0,0,0,0
134879,1,9,10,0.0,6.159095388491933,0,0,1,1,0,0,0,0,0,1,0,0
134879,2,9,3,0.0,4.51085950651685,1,0,0,1,0,0,0,0,0,0,0,0
134879,1,9,10,0.0,4.290459441148391,1,0,0,0,0,0,0,0,0,1,0,0
134879,2,9,6,0.0,5.575949103146316,1,0,0,0,0,0,0,0,0,1,0,0
134879,2,9,10,0.0,4.219507705176107,1,0,0,0,0,0,0,0,1,1,0,0
134879,3,9,4,1.0,4.770684624465665,1,0,0,0,0,0,0,0,1,0,0,0
133679,2,9,10,0.0,5.10594547390058,1,0,0,1,0,0,0,0,0,1,0,0
133679,3,9,3,1.0,4.787491742782046,1,0,0,1,0,0,0,0,0,0,0,0
133679,3,8,10,0.0,6.70808408385307,1,0,0,0,0,0,0,0,0,1,0,0
133679,2,8,4,0.0,4.2626798770413155,1,0,0,0,0,0,0,0,0,0,0,0
133594,2,8,10,1.0,4.897839799950911,1,0,0,0,0,0,0,0,1,1,0,0
133594,1,8,3,0.0,6.19644412779452,1,0,0,0,0,0,0,0,1,0,0,0
133594,2,8,10,0.0,5.802118375377063,1,0,0,0,0,0,0,1,0,1,0,0
133594,1,8,8,0.0,4.30406509320417,1,0,0,0,0,0,0,1,0,1,0,0
133594,2,8,13,0.0,4.110873864173311,1,0,0,0,0,0,1,0,0,0,1,0
133451,1,8,9,1.0,3.4965075614664802,1,0,0,0,0,1,0,0,0,1,0,0
132817,3,8,10,0.0,7.1631723908466425,1,0,0,0,0,1,0,0,0,1,0,0
132817,2,8,3,1.0,5.117993812416755,1,0,0,0,0,1,0,0,0,0,0,0
132817,1,8,9,0.0,3.828641396489095,1,0,0,0,1,0,0,0,0,1,0,0
132817,2,8,2,1.0,4.2626798770413155,0,1,0,0,1,0,0,0,0,0,0,0
132817,3,8,10,0.0,5.497168225293202,1,0,0,1,0,0,0,0,0,1,0,0
132817,3,8,3,0.0,4.890349128221754,1,0,0,1,0,0,0,0,0,0,0,0
132201,1,8,12,1.0,3.7612001156935624,1,0,0,0,0,0,0,0,0,0,1,0
132201,1,8,3,0.0,6.837332814685591,1,0,0,0,0,0,0,0,0,0,0,0
132201,2,8,10,0.0,5.093750200806762,1,0,0,0,0,0,0,0,1,1,0,0
132201,3,8,3,0.0,4.204692619390966,1,0,0,0,0,0,0,0,1,0,0,0
132201,2,8,10,1.0,4.59511985013459,1,0,0,0,0,0,0,1,0,1,0,0
132201,3,8,3,1.0,4.68213122712422,1,0,0,0,0,0,0,1,0,0,0,0
132201,3,8,10,0.0,5.662960480135946,1,0,0,0,0,0,1,0,0,1,0,0
132201,2,8,1,0.0,3.9318256327243257,1,0,0,0,0,0,1,0,0,0,0,0
132201,3,8,11,1.0,2.772588722239781,1,0,0,0,0,1,0,0,0,1,0,0
132201,3,8,3,1.0,6.154858094016418,1,0,0,0,0,1,0,0,0,0,0,0
131956,1,8,10,0.0,4.844187086458591,1,0,0,0,1,0,0,0,0,1,0,0
131956,2,8,4,0.0,3.367295829986474,1,0,0,0,1,0,0,0,0,0,0,0
131956,2,8,12,0.0,4.060443010546419,0,1,0,1,0,0,0,0,0,0,1,0
131956,1,8,7,0.0,4.61512051684126,1,0,0,1,0,0,0,0,0,1,0,0
131956,3,8,12,0.0,5.605802066295998,1,0,0,0,0,0,0,0,0,0,1,0
131956,2,8,4,0.0,4.574710978503383,1,0,0,0,0,0,0,0,0,0,0,0
131956,3,8,10,0.0,5.3612921657094255,1,0,0,0,0,0,0,0,1,1,0,0
131808,2,8,4,0.0,4.465908118654584,0,1,0,0,0,0,0,0,1,0,0,0
131808,2,8,10,1.0,6.003887067106539,0,1,0,0,0,0,0,1,0,1,0,0
131808,1,8,6,0.0,4.6443908991413725,1,0,0,0,0,0,0,1,0,1,0,0
131808,2,7,14,0.0,4.804021044733257,0,1,0,0,0,0,1,0,0,0,1,0
131728,3,7,8,1.0,5.384495062789089,1,0,0,0,0,0,1,0,0,1,0,0
131728,1,7,10,1.0,4.844187086458591,1,0,0,0,0,1,0,0,0,1,0,0
131728,2,7,3,0.0,6.124683390894205,1,0,0,0,0,1,0,0,0,0,0,0
131630,2,7,13,0.0,4.875197323201151,1,0,0,0,1,0,0,0,0,0,1,0
131630,3,7,23,0.0,4.912654885736052,1,0,0,1,0,0,0,0,0,0,0,1
131630,3,7,13,0.0,4.74493212836325,1,0,0,1,0,0,0,0,0,0,1,0
131630,2,7,6,1.0,3.091042453358316,0,1,0,1,0,0,0,0,0,1,0,0
131630,1,7,11,0.0,4.007333185232471,1,0,0,0,0,0,0,0,0,1,0,0
131630,2,7,5,0.0,4.795790545596741,1,0,0,0,0,0,0,0,0,0,0,0
131300,2,7,10,0.0,2.8903717578961645,0,1,0,0,0,0,0,0,1,1,0,0
131300,3,7,4,0.0,5.68697535633982,1,0,0,0,0,0,0,0,1,0,0,0
131300,2,7,10,0.0,4.941642422609304,1,0,0,0,0,0,0,1,0,1,0,0
131300,1,7,2,0.0,4.859812404361672,1,0,0,0,0,0,0,1,0,0,0,0
130791,2,7,11,1.0,5.231108616854587,1,0,0,0,0,0,1,0,0,1,0,0
130791,3,7,3,0.0,6.437751649736401,1,0,0,0,0,0,1,0,0,0,0,0
130791,1,7,11,0.0,4.976733742420574,1,0,0,0,0,1,0,0,0,1,0,0
130791,2,7,6,0.0,6.35088571671474,0,1,0,0,0,1,0,0,0,1,0,0
130791,1,7,11,1.0,6.016157159698354,0,0,1,0,1,0,0,0,0,1,0,0
130791,2,7,5,1.0,8.75384509275524,1,0,0,0,1,0,0,0,0,0,0,0
130791,1,7,13,0.0,5.241747015059643,1,0,0,1,0,0,0,0,0,0,1,0
130791,2,7,8,0.0,4.48863636973214,1,0,0,1,0,0,0,0,0,1,0,0
129600,2,7,12,0.0,4.7535901911063645,1,0,0,0,0,0,0,0,0,0,1,0
129600,3,7,6,0.0,4.77912349311153,1,0,0,0,0,0,0,0,0,1,0,0
129600,2,7,11,1.0,4.23410650459726,1,0,0,0,0,0,0,0,1,1,0,0
129600,1,7,6,1.0,4.454347296253507,1,0,0,0,0,0,0,0,1,1,0,0
129600,1,7,11,0.0,5.459585514144159,1,0,0,0,0,0,0,1,0,1,0,0
129600,3,7,5,0.0,5.616771097666572,1,0,0,0,0,0,0,1,0,0,0,0
129600,2,7,12,1.0,5.707110264748875,0,1,0,0,0,0,1,0,0,0,1,0
129600,3,7,3,0.0,6.714170529909472,1,0,0,0,0,0,1,0,0,0,0,0
129600,2,7,12,1.0,4.454347296253507,1,0,0,0,0,1,0,0,0,0,1,0
129600,1,7,6,1.0,5.081404364984463,1,0,0,0,0,1,0,0,0,1,0,0
129600,1,7,13,1.0,4.77912349311153,1,0,0,0,1,0,0,0,0,0,1,0
129600,2,7,1,0.0,5.318119993844216,1,0,0,0,1,0,0,0,0,0,0,0
129600,3,7,13,0.0,5.313205979041787,1,0,0,1,0,0,0,0,0,0,1,0
129600,2,7,7,1.0,4.969813299576001,1,0,0,1,0,0,0,0,0,1,0,0
129600,1,7,13,0.0,5.673323267171493,1,0,0,0,0,0,0,0,0,0,1,0
128032,2,7,3,0.0,4.382026634673881,1,0,0,0,0,0,0,0,0,0,0,0
128032,2,7,11,1.0,4.330733340286331,1,0,0,0,0,0,0,0,1,1,0,0
128032,3,7,3,0.0,6.391917113392602,1,0,0,0,0,0,0,0,1,0,0,0
128032,3,7,13,1.0,4.02535169073515,1,0,0,0,0,0,0,1,0,0,1,0
128032,1,7,3,0.0,4.624972813284271,1,0,0,0,0,0,0,1,0,0,0,0
128032,2,7,10,0.0,4.477336814478207,0,1,0,0,0,0,1,0,0,1,0,0
128032,1,7,3,0.0,5.278114659230517,1,0,0,0,0,0,1,0,0,0,0,0
128032,1,7,9,1.0,3.9889840465642745,1,0,0,0,0,1,0,0,0,1,0,0
128032,2,7,5,1.0,6.594413459749778,1,0,0,0,0,1,0,0,0,0,0,0
128032,1,7,10,1.0,5.598421958998375,1,0,0,0,1,0,0,0,0,1,0,0
127082,1,7,3,1.0,6.376726947898627,1,0,0,0,1,0,0,0,0,0,0,0
126424,3,7,12,0.0,5.147494476813453,1,0,0,0,0,1,0,0,0,0,1,0
126424,2,7,3,0.0,4.276666119016055,1,0,0,0,0,1,0,0,0,0,0,0
126424,2,7,13,0.0,5.003946305945459,0,1,0,0,1,0,0,0,0,0,1,0
126424,3,7,4,1.0,3.4339872044851463,1,0,0,0,1,0,0,0,0,0,0,0
126424,1,6,13,0.0,5.605802066295998,0,0,1,1,0,0,0,0,0,0,1,0
126345,1,6,9,1.0,5.389071729816501,1,0,0,1,0,0,0,0,0,1,0,0
126345,1,6,3,0.0,5.272999558563747,1,0,0,1,0,0,0,0,0,0,0,0
126345,2,6,12,0.0,3.912023005428146,1,0,0,0,0,0,0,0,0,0,1,0
126345,2,6,4,0.0,4.499809670330265,1,0,0,0,0,0,0,0,0,0,0,0
126345,2,6,11,0.0,4.770684624465665,0,1,0,0,0,0,0,0,1,1,0,0
126141,1,6,4,1.0,3.6888794541139363,1,0,0,0,0,0,0,0,1,0,0,0
126141,1,6,12,0.0,5.030437921392435,1,0,0,0,0,0,0,1,0,0,1,0
126141,2,6,4,0.0,4.553876891600541,0,1,0,0,0,0,0,1,0,0,0,0
126141,1,6,11,1.0,2.9444389791664403,1,0,0,0,0,0,1,0,0,1,0,0
126141,1,6,22,1.0,4.836281906951478,1,0,0,0,0,1,0,0,0,0,0,1
126141,1,6,12,0.0,6.406879986069314,1,0,0,0,0,1,0,0,0,0,1,0
125612,1,6,11,0.0,4.219507705176107,1,0,0,0,0,1,0,0,0,1,0,0
125612,1,6,7,0.0,3.258096538021482,1,0,0,0,0,1,0,0,0,1,0,0
125612,2,6,3,0.0,5.153291594497779,1,0,0,0,0,1,0,0,0,0,0,0
125612,1,6,11,0.0,3.2188758248682006,1,0,0,0,1,0,0,0,0,1,0,0
125612,2,6,3,0.0,4.564348191467836,1,0,0,0,1,0,0,0,0,0,0,0
125612,1,6,13,0.0,4.543294782270004,1,0,0,1,0,0,0,0,0,0,1,0
125612,1,6,2,0.0,4.204692619390966,1,0,0,1,0,0,0,0,0,0,0,0
125612,3,6,14,0.0,4.770684624465665,1,0,0,0,0,0,0,0,0,0,1,0
125612,3,6,3,0.0,4.290459441148391,1,0,0,0,0,0,0,0,0,0,0,0
125612,2,6,11,0.0,4.553876891600541,1,0,0,0,0,0,0,0,1,1,0,0
124940,1,6,4,0.0,2.772588722239781,1,0,0,0,0,0,0,0,1,0,0,0
124940,2,6,9,0.0,5.655991810819852,1,0,0,0,0,0,0,1,0,1,0,0
124940,3,6,2,1.0,4.499809670330265,1,0,0,0,0,0,0,1,0,0,0,0
124940,1,6,13,1.0,5.459585514144159,1,0,0,0,0,0,1,0,0,0,1,0
124940,3,6,3,1.0,5.8971538676367405,1,0,0,0,0,0,1,0,0,0,0,0
